ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	List1	List1.Cycle	List1.Sample	Procedure[Block]	Running[Block]	Trial	List3	List3.Cycle	List3.Sample	Procedure[Trial]	Running[Trial]	SubTrial	Amount13.ACC	Amount13.CRESP	Amount13.DurationError	Amount13.OnsetDelay	Amount13.OnsetTime	Amount13.OnsetToOnsetTime	Amount13.RESP	Amount13.RT	Amount13.RTTime	Amount14.ACC	Amount14.CRESP	Amount14.DurationError	Amount14.OnsetDelay	Amount14.OnsetTime	Amount14.OnsetToOnsetTime	Amount14.RESP	Amount14.RT	Amount14.RTTime	Amount6.ACC	Amount6.CRESP	Amount6.DurationError	Amount6.OnsetDelay	Amount6.OnsetTime	Amount6.OnsetToOnsetTime	Amount6.RESP	Amount6.RT	Amount6.RTTime	AmtL	AmtR	DelL	DelR	LeftRight	List5	List5.Cycle	List5.Sample	List8	List8.Cycle	List8.Sample	Procedure[SubTrial]	RandomNum	Running[SubTrial]
ITCvB_070219	172	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-07-09T13:37:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1757814</Frequency><Timestamp dt:dt=""r8"">2280652837749</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-07-09T13:37:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	ITCvB_070219-172-1	60.024	1.0.0.20	1	25553000	Professional	2.0.10.356	2.0.10.356	7/9/2019	7/9/2019 13:37	9:37:15	2.0.10.252	1	1	1	1	Experiment	List1	1	1	1	1	Practice	List3	1	0	j	-999999	27	447865	0	f	6314	454179																			30	7	155 days	now					2	1	1	ChoiceExp2		List8
ITCvB_070219	172	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-07-09T13:37:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1757814</Frequency><Timestamp dt:dt=""r8"">2280652837749</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-07-09T13:37:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	ITCvB_070219-172-1	60.024	1.0.0.20	1	25553000	Professional	2.0.10.356	2.0.10.356	7/9/2019	7/9/2019 13:37	9:37:15	2.0.10.252	1	1	1	1	Experiment	List1	1	1	1	1	Practice	List3	2	1	j	-999999	16	455729	0	j	4241	459970																			8	25	now	121 days					1	1	2	ChoiceExp2		List8
ITCvB_070219	172	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-07-09T13:37:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1757814</Frequency><Timestamp dt:dt=""r8"">2280652837749</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-07-09T13:37:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	ITCvB_070219-172-1	60.024	1.0.0.20	1	25553000	Professional	2.0.10.356	2.0.10.356	7/9/2019	7/9/2019 13:37	9:37:15	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	1										0		0	0	0	0		0	0	0	j	-999999	27	471073	0	f	6738	477811	16	25	now	14	1	37	1	1				ChoiceExp1	61	List5
ITCvB_070219	172	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-07-09T13:37:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1757814</Frequency><Timestamp dt:dt=""r8"">2280652837749</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-07-09T13:37:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	ITCvB_070219-172-1	60.024	1.0.0.20	1	25553000	Professional	2.0.10.356	2.0.10.356	7/9/2019	7/9/2019 13:37	9:37:15	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	2										0	j	-999999	33	479369	0	f	4246	483615	0	j	-999999	27	471073	0	f	6738	477811	20	25	now	1	0	49	1	2				ChoiceExp1	16	List5
ITCvB_070219	172	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-07-09T13:37:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1757814</Frequency><Timestamp dt:dt=""r8"">2280652837749</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-07-09T13:37:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	ITCvB_070219-172-1	60.024	1.0.0.20	1	25553000	Professional	2.0.10.356	2.0.10.356	7/9/2019	7/9/2019 13:37	9:37:15	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	3										0	j	-999999	33	479369	0	f	4246	483615	1	j	-999999	16	485167	0	j	6669	491836	26	35	now	22	1	33	1	3				ChoiceExp1	52	List5
ITCvB_070219	172	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-07-09T13:37:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1757814</Frequency><Timestamp dt:dt=""r8"">2280652837749</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-07-09T13:37:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	ITCvB_070219-172-1	60.024	1.0.0.20	1	25553000	Professional	2.0.10.356	2.0.10.356	7/9/2019	7/9/2019 13:37	9:37:15	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	4										1	j	-999999	16	493380	0	j	2644	496024	1	j	-999999	16	485167	0	j	6669	491836	20	30	now	126	0	23	1	4				ChoiceExp1	19	List5
ITCvB_070219	172	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-07-09T13:37:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1757814</Frequency><Timestamp dt:dt=""r8"">2280652837749</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-07-09T13:37:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	ITCvB_070219-172-1	60.024	1.0.0.20	1	25553000	Professional	2.0.10.356	2.0.10.356	7/9/2019	7/9/2019 13:37	9:37:15	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	5										1	j	-999999	17	497579	0	j	4394	501973	1	j	-999999	16	485167	0	j	6669	491836	26	30	now	15	0	29	1	5				ChoiceExp1	5	List5
ITCvB_070219	172	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-07-09T13:37:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1757814</Frequency><Timestamp dt:dt=""r8"">2280652837749</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-07-09T13:37:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	ITCvB_070219-172-1	60.024	1.0.0.20	1	25553000	Professional	2.0.10.356	2.0.10.356	7/9/2019	7/9/2019 13:37	9:37:15	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	6										1	j	-999999	17	497579	0	j	4394	501973	1	j	-999999	16	503526	0	j	3145	506671	15	30	now	4	1	50	1	6				ChoiceExp1	58	List5
ITCvB_070219	172	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-07-09T13:37:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1757814</Frequency><Timestamp dt:dt=""r8"">2280652837749</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-07-09T13:37:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	ITCvB_070219-172-1	60.024	1.0.0.20	1	25553000	Professional	2.0.10.356	2.0.10.356	7/9/2019	7/9/2019 13:37	9:37:15	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	7										1	j	-999999	16	508224	0	j	3247	511471	1	j	-999999	16	503526	0	j	3145	506671	24	25	now	180	0	1	1	7				ChoiceExp1	42	List5
ITCvB_070219	172	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-07-09T13:37:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1757814</Frequency><Timestamp dt:dt=""r8"">2280652837749</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-07-09T13:37:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	ITCvB_070219-172-1	60.024	1.0.0.20	1	25553000	Professional	2.0.10.356	2.0.10.356	7/9/2019	7/9/2019 13:37	9:37:15	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	8										1	j	-999999	16	513022	0	j	2564	515586	1	j	-999999	16	503526	0	j	3145	506671	23	25	now	145	0	10	1	8				ChoiceExp1	43	List5
