ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	List1	List1.Cycle	List1.Sample	Procedure[Block]	Running[Block]	Trial	List3	List3.Cycle	List3.Sample	Procedure[Trial]	Running[Trial]	SubTrial	Amount13.ACC	Amount13.CRESP	Amount13.DurationError	Amount13.OnsetDelay	Amount13.OnsetTime	Amount13.OnsetToOnsetTime	Amount13.RESP	Amount13.RT	Amount13.RTTime	Amount14.ACC	Amount14.CRESP	Amount14.DurationError	Amount14.OnsetDelay	Amount14.OnsetTime	Amount14.OnsetToOnsetTime	Amount14.RESP	Amount14.RT	Amount14.RTTime	Amount6.ACC	Amount6.CRESP	Amount6.DurationError	Amount6.OnsetDelay	Amount6.OnsetTime	Amount6.OnsetToOnsetTime	Amount6.RESP	Amount6.RT	Amount6.RTTime	AmtL	AmtR	DelL	DelR	LeftRight	List5	List5.Cycle	List5.Sample	List8	List8.Cycle	List8.Sample	Procedure[SubTrial]	RandomNum	Running[SubTrial]
ITCvB_070219	678	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-11-07T21:03:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1757814</Frequency><Timestamp dt:dt=""r8"">2903234643336</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-11-07T21:03:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	ITCvB_070219-678-1	60.024	1.0.0.20	1	-162880845	Professional	2.0.10.356	2.0.10.356	11/7/2019	11/7/2019 21:03	16:03:00	2.0.10.252	1	1	1	1	Experiment	List1	1	1	1	1	Practice	List3	1	1	j	-999999	38	15400146	0	j	2866	15403012																			8	25	now	121 days					1	1	1	ChoiceExp2		List8
ITCvB_070219	678	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-11-07T21:03:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1757814</Frequency><Timestamp dt:dt=""r8"">2903234643336</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-11-07T21:03:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	ITCvB_070219-678-1	60.024	1.0.0.20	1	-162880845	Professional	2.0.10.356	2.0.10.356	11/7/2019	11/7/2019 21:03	16:03:00	2.0.10.252	1	1	1	1	Experiment	List1	1	1	1	1	Practice	List3	2	0	j	-999999	16	15404561	0	f	2908	15407469																			30	7	155 days	now					2	1	2	ChoiceExp2		List8
ITCvB_070219	678	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-11-07T21:03:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1757814</Frequency><Timestamp dt:dt=""r8"">2903234643336</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-11-07T21:03:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	ITCvB_070219-678-1	60.024	1.0.0.20	1	-162880845	Professional	2.0.10.356	2.0.10.356	11/7/2019	11/7/2019 21:03	16:03:00	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	1										0	j	-999999	18	15419372	0	f	7315	15426687	0		0	0	0	0		0	0	16	35	now	119	0	30	1	1				ChoiceExp1	42	List5
ITCvB_070219	678	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-11-07T21:03:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1757814</Frequency><Timestamp dt:dt=""r8"">2903234643336</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-11-07T21:03:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	ITCvB_070219-678-1	60.024	1.0.0.20	1	-162880845	Professional	2.0.10.356	2.0.10.356	11/7/2019	11/7/2019 21:03	16:03:00	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	2										0	j	-999999	33	15428251	0	f	3193	15431444	0		0	0	0	0		0	0	29	30	now	87	0	8	1	2				ChoiceExp1	19	List5
ITCvB_070219	678	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-11-07T21:03:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1757814</Frequency><Timestamp dt:dt=""r8"">2903234643336</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-11-07T21:03:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	ITCvB_070219-678-1	60.024	1.0.0.20	1	-162880845	Professional	2.0.10.356	2.0.10.356	11/7/2019	11/7/2019 21:03	16:03:00	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	3										0	j	-999999	33	15428251	0	f	3193	15431444	1	j	-999999	16	15432999	0	j	1945	15434944	15	30	now	4	1	50	1	3				ChoiceExp1	80	List5
ITCvB_070219	678	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-11-07T21:03:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1757814</Frequency><Timestamp dt:dt=""r8"">2903234643336</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-11-07T21:03:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	ITCvB_070219-678-1	60.024	1.0.0.20	1	-162880845	Professional	2.0.10.356	2.0.10.356	11/7/2019	11/7/2019 21:03	16:03:00	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	4										1	j	-999999	33	15436515	0	j	3269	15439784	1	j	-999999	16	15432999	0	j	1945	15434944	34	35	now	160	0	3	1	4				ChoiceExp1	22	List5
ITCvB_070219	678	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-11-07T21:03:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1757814</Frequency><Timestamp dt:dt=""r8"">2903234643336</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-11-07T21:03:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	ITCvB_070219-678-1	60.024	1.0.0.20	1	-162880845	Professional	2.0.10.356	2.0.10.356	11/7/2019	11/7/2019 21:03	16:03:00	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	5										1	j	-999999	33	15436515	0	j	3269	15439784	0	j	-999999	16	15441329	0	f	3623	15444952	27	30	now	44	1	20	1	5				ChoiceExp1	66	List5
ITCvB_070219	678	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-11-07T21:03:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1757814</Frequency><Timestamp dt:dt=""r8"">2903234643336</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-11-07T21:03:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	ITCvB_070219-678-1	60.024	1.0.0.20	1	-162880845	Professional	2.0.10.356	2.0.10.356	11/7/2019	11/7/2019 21:03	16:03:00	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	6										1	j	-999999	33	15436515	0	j	3269	15439784	1	j	-999999	16	15446494	0	j	2126	15448620	13	35	now	43	1	39	1	6				ChoiceExp1	60	List5
ITCvB_070219	678	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-11-07T21:03:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1757814</Frequency><Timestamp dt:dt=""r8"">2903234643336</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-11-07T21:03:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	ITCvB_070219-678-1	60.024	1.0.0.20	1	-162880845	Professional	2.0.10.356	2.0.10.356	11/7/2019	11/7/2019 21:03	16:03:00	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	7										0	j	-999999	16	15450176	0	f	4424	15454600	1	j	-999999	16	15446494	0	j	2126	15448620	23	30	now	3	0	44	1	7				ChoiceExp1	43	List5
ITCvB_070219	678	1	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-11-07T21:03:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1757814</Frequency><Timestamp dt:dt=""r8"">2903234643336</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-11-07T21:03:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	ITCvB_070219-678-1	60.024	1.0.0.20	1	-162880845	Professional	2.0.10.356	2.0.10.356	11/7/2019	11/7/2019 21:03	16:03:00	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	8										0	j	-999999	16	15450176	0	f	4424	15454600	1	j	-999999	16	15456140	0	j	2124	15458264	10	35	now	25	1	45	1	8				ChoiceExp1	61	List5
